Name,id_Number,gender,height_cm,weight_kg
Aaron Altman,52804198901088147,Male,208,53
Aaron Arroyo,92913196101226542,Male,214,71
Aaron Bateman,55294198810026513,Female,210,74
Aaron Benda,20922194710201144,Male,175,105
Aaron Bornhorst,97275200203223982,Male,174,106
Aaron Bornhorst,59563192704024956,Male,178,103
Aaron Bowman,60267197110161315,Male,209,89
Aaron Carpenter,24147193607122077,Male,217,73
Aaron Carter,47968196212295270,Male,186,95
Aaron Craig,49488196511207871,Female,188,52
Aaron Eytcheson,78741200009015409,Female,181,80
Aaron Fountain,85230199510176126,Female,198,48
Aaron Gainey,95506195209261695,Male,207,86
Aaron Gomez,28225197509178193,Male,162,63
Aaron Guidry,71566198902118794,Male,169,77
Aaron Horton,70429196501081423,Male,161,47
Aaron Kemerer,18068201207049286,Male,216,52
Aaron Logan,33860201708088587,Female,207,51
Aaron Lott,64885193512254677,Female,156,109
Aaron Miller,78712198009199590,Female,188,66
Aaron Nicholson,92036194211163363,Female,179,76
Aaron Odell,70163201301294266,Male,191,78
Aaron Peeler,48160193802106346,Male,164,119
Aaron Peeler,59646194107019737,Male,156,82
Aaron Rehm,67965197501185129,Male,188,89
Aaron Scott,43444194006079558,Male,208,62
Aaron Siddique,98472193411079309,Male,189,59
Aaron Slowe,87609197004232543,Female,203,79
Aaron Slowe,74376194704184556,Male,198,109
Aaron Summerlin,43359199211177385,Female,154,85
Aaron Whitmer,47061193901282733,Male,195,86
Aaron Widener,50130194009116109,Female,157,110
Aaron Widener,28748197612041903,Male,203,93
Abbie Britton,17283201111126014,Male,179,74
Abbie Gaston,12943197811257644,Female,217,102
Abby Fleming,16286198404115374,Male,209,94
Abby Homa,73804196905208219,Female,167,74
Abby Munoz,86616201301237306,Female,160,58
Abby Samaroo,55406199312177169,Female,165,58
Abe Albert,42527197511031270,Male,158,62
Abe Albert,69768199011025333,Female,199,61
Abel Borrell,99385197808125688,Female,170,97
Abel Galvan,27030198103195143,Male,158,113
Abel Hale,76279201008226859,Female,199,70
Abigail Dunlap,75194195601088428,Female,207,57
Abraham Rousseau,95649197005095374,Female,191,108
Abraham Sorrentino,92621197003197667,Male,209,87
Abram Harton,45751193004123549,Female,169,112
Abram Harton,32325197412151307,Male,159,94
Abram Jackson,35417193409293923,Female,167,114
Abram Moher,61842199907151713,Female,197,100
Ada Begley,31986195506201917,Male,203,68
Ada Core,91429201902231712,Female,200,96
Ada Goatley,42804193406195311,Male,197,45
Ada Green,76776196301271723,Female,150,101
Ada Humphrey,94180200501201704,Male,210,111
Ada Irvine,17849193505025968,Female,204,55
Ada Robey,93136196911109053,Female,177,73
Ada Shortridge,32060198809188639,Male,159,48
Adalberto Lafferty,66104193304089007,Male,156,55
Adam Abrams,93211196008044884,Male,203,75
Adam Banks,32799201010236159,Female,209,59
Adam Boser,54863193604065658,Male,198,84
Adam Caudill,49336194205268538,Female,196,91
Adam Courtney,35647195007016008,Female,174,105
Adam Crowley,84066197305268020,Female,166,117
Adam Davis,26140201102141596,Male,211,60
Adam Davis,92346198312196229,Female,161,50
Adam Delapaz,69952197505294158,Male,202,84
Adam Eastman,49000201705215881,Female,170,61
Adam Faulk,48984198011126845,Male,211,89
Adam Faulk,94532202006106385,Female,196,87
Adam Ferrell,17949201409164670,Female,156,99
Adam Fountain,32913201212134194,Male,182,68
Adam Frazier,11870198905095739,Female,161,118
Adam Greene,28693192508226440,Male,206,70
Adam Greene,35283196601201105,Female,163,106
Adam Hancock,40342199411178653,Male,173,117
Adam Hendrix,12617201103208105,Female,182,107
Adam Jones,97816198308105362,Male,173,64
Adam Jones,82843195504039256,Female,182,63
Adam Kimball,49142200708013281,Female,208,84
Adam Koch,73964196708038735,Female,171,80
Adam Koch,27974194912036136,Male,175,87
Adam Layel,97936201911154147,Male,171,46
